,date,count,Year,Month,Week,Day,Day of Week,Day of Year
750,2016-01-21,24022.0,2016,1,3,21,3,21
751,2016-01-22,21243.0,2016,1,3,22,4,22
752,2016-01-22,21243.0,2016,1,3,22,4,22
753,2016-01-22,21243.0,2016,1,3,22,4,22
754,2016-01-22,21243.0,2016,1,3,22,4,22
755,2016-01-22,21243.0,2016,1,3,22,4,22
756,2016-01-27,6854.0,2016,1,4,27,2,27
757,2016-01-28,12149.0,2016,1,4,28,3,28
758,2016-01-29,16252.0,2016,1,4,29,4,29
759,2016-01-30,13122.0,2016,1,4,30,5,30
760,2016-01-31,16316.0,2016,1,4,31,6,31
761,2016-01-02,14794.0,2016,1,53,2,5,2
762,2016-02-02,28939.0,2016,2,5,2,1,33
763,2016-03-02,26554.0,2016,3,9,2,2,62
764,2016-04-02,22156.0,2016,4,13,2,5,93
765,2016-05-02,39138.0,2016,5,18,2,0,123
766,2016-06-02,55237.0,2016,6,22,2,3,154
767,2016-07-02,36404.0,2016,7,26,2,5,184
768,2016-08-02,57899.0,2016,8,31,2,1,215
769,2016-09-02,54202.0,2016,9,35,2,4,246
770,2016-10-02,41777.0,2016,10,39,2,6,276
771,2016-11-02,63234.0,2016,11,44,2,2,307
772,2016-12-02,43125.0,2016,12,48,2,4,337
773,2016-02-13,6688.0,2016,2,6,13,5,44
774,2016-02-14,4713.0,2016,2,6,14,6,45
775,2016-02-15,5975.0,2016,2,7,15,0,46
776,2016-02-16,14764.0,2016,2,7,16,1,47
777,2016-02-17,23925.0,2016,2,7,17,2,48
778,2016-02-18,22601.0,2016,2,7,18,3,49
779,2016-02-19,22289.0,2016,2,7,19,4,50
780,2016-02-20,24826.0,2016,2,7,20,5,51
781,2016-02-21,20356.0,2016,2,7,21,6,52
782,2016-02-22,28670.0,2016,2,8,22,0,53
783,2016-02-23,16428.0,2016,2,8,23,1,54
784,2016-02-24,9931.0,2016,2,8,24,2,55
785,2016-02-25,25474.0,2016,2,8,25,3,56
786,2016-02-26,22918.0,2016,2,8,26,4,57
787,2016-02-27,17463.0,2016,2,8,27,5,58
788,2016-02-28,25854.0,2016,2,8,28,6,59
789,2016-02-29,28359.0,2016,2,9,29,0,60
790,2016-01-03,15775.0,2016,1,53,3,6,3
791,2016-02-03,16470.0,2016,2,5,3,2,34
792,2016-03-03,24421.0,2016,3,9,3,3,63
793,2016-04-03,15526.0,2016,4,13,3,6,94
794,2016-05-03,23289.0,2016,5,18,3,1,124
795,2016-06-03,39596.0,2016,6,22,3,4,155
796,2016-07-03,35976.0,2016,7,26,3,6,185
797,2016-08-03,58188.0,2016,8,31,3,2,216
798,2016-09-03,42477.0,2016,9,35,3,5,247
799,2016-10-03,57525.0,2016,10,40,3,0,277
800,2016-11-03,60628.0,2016,11,44,3,3,308
801,2016-12-03,30325.0,2016,12,48,3,5,338
802,2016-03-13,27955.0,2016,3,10,13,6,73
803,2016-03-14,11143.0,2016,3,11,14,0,74
804,2016-03-15,32109.0,2016,3,11,15,1,75
805,2016-03-16,36592.0,2016,3,11,16,2,76
806,2016-03-17,35955.0,2016,3,11,17,3,77
807,2016-03-18,35176.0,2016,3,11,18,4,78
808,2016-03-19,24409.0,2016,3,11,19,5,79
809,2016-03-20,16951.0,2016,3,11,20,6,80
810,2016-03-21,26830.0,2016,3,12,21,0,81
811,2016-03-22,33995.0,2016,3,12,22,1,82
812,2016-03-23,41566.0,2016,3,12,23,2,83
813,2016-03-24,37048.0,2016,3,12,24,3,84
814,2016-03-25,34575.0,2016,3,12,25,4,85
815,2016-03-26,27861.0,2016,3,12,26,5,86
816,2016-03-27,22787.0,2016,3,12,27,6,87
817,2016-03-28,20651.0,2016,3,13,28,0,88
818,2016-03-29,31919.0,2016,3,13,29,1,89
819,2016-03-30,34202.0,2016,3,13,30,2,90
820,2016-03-31,38923.0,2016,3,13,31,3,91
821,2016-01-04,19879.0,2016,1,1,4,0,4
822,2016-02-04,28144.0,2016,2,5,4,3,35
823,2016-03-04,17611.0,2016,3,9,4,4,64
824,2016-04-04,12557.0,2016,4,14,4,0,95
825,2016-05-04,32193.0,2016,5,18,4,2,125
826,2016-06-04,41567.0,2016,6,22,4,5,156
827,2016-07-04,35602.0,2016,7,27,4,0,186
828,2016-08-04,57845.0,2016,8,31,4,3,217
829,2016-09-04,46935.0,2016,9,35,4,6,248
830,2016-10-04,61640.0,2016,10,40,4,1,278
831,2016-11-04,58887.0,2016,11,44,4,4,309
832,2016-12-04,27889.0,2016,12,48,4,6,339
833,2016-04-13,38134.0,2016,4,15,13,2,104
834,2016-04-14,39098.0,2016,4,15,14,3,105
835,2016-04-15,40270.0,2016,4,15,15,4,106
836,2016-04-16,36690.0,2016,4,15,16,5,107
837,2016-04-17,39535.0,2016,4,15,17,6,108
838,2016-04-18,44700.0,2016,4,16,18,0,109
839,2016-04-19,46779.0,2016,4,16,19,1,110
840,2016-04-20,45231.0,2016,4,16,20,2,111
841,2016-04-21,46307.0,2016,4,16,21,3,112
842,2016-04-22,49647.0,2016,4,16,22,4,113
843,2016-04-23,34203.0,2016,4,16,23,5,114
844,2016-04-24,38492.0,2016,4,16,24,6,115
845,2016-04-25,43049.0,2016,4,17,25,0,116
846,2016-04-26,35307.0,2016,4,17,26,1,117
847,2016-04-27,42668.0,2016,4,17,27,2,118
848,2016-04-28,38060.0,2016,4,17,28,3,119
849,2016-04-29,35436.0,2016,4,17,29,4,120
850,2016-04-30,38873.0,2016,4,17,30,5,121
851,2016-01-05,18326.0,2016,1,1,5,1,5
852,2016-02-05,13847.0,2016,2,5,5,4,36
853,2016-03-05,18276.0,2016,3,9,5,5,65
854,2016-04-05,26660.0,2016,4,14,5,1,96
855,2016-05-05,40527.0,2016,5,18,5,3,126
856,2016-06-05,22814.0,2016,6,22,5,6,157
857,2016-07-05,44564.0,2016,7,27,5,1,187
858,2016-08-05,54489.0,2016,8,31,5,4,218
859,2016-09-05,46379.0,2016,9,36,5,0,249
860,2016-10-05,66330.0,2016,10,40,5,2,279
861,2016-11-05,49463.0,2016,11,44,5,5,310
862,2016-12-05,36572.0,2016,12,49,5,0,340
863,2016-05-13,32942.0,2016,5,19,13,4,134
864,2016-05-14,42751.0,2016,5,19,14,5,135
865,2016-05-15,29101.0,2016,5,19,15,6,136
866,2016-05-16,43490.0,2016,5,20,16,0,137
867,2016-05-17,44112.0,2016,5,20,17,1,138
868,2016-05-18,45502.0,2016,5,20,18,2,139
869,2016-05-19,49978.0,2016,5,20,19,3,140
870,2016-05-20,53277.0,2016,5,20,20,4,141
871,2016-05-21,30921.0,2016,5,20,21,5,142
872,2016-05-22,38428.0,2016,5,20,22,6,143
873,2016-05-23,49383.0,2016,5,21,23,0,144
874,2016-05-24,35479.0,2016,5,21,24,1,145
875,2016-05-25,54333.0,2016,5,21,25,2,146
876,2016-05-26,52950.0,2016,5,21,26,3,147
877,2016-05-27,47683.0,2016,5,21,27,4,148
878,2016-05-28,34750.0,2016,5,21,28,5,149
879,2016-05-29,37508.0,2016,5,21,29,6,150
880,2016-05-30,33169.0,2016,5,22,30,0,151
881,2016-05-31,50574.0,2016,5,22,31,1,152
882,2016-01-06,24922.0,2016,1,1,6,2,6
883,2016-02-06,17157.0,2016,2,5,6,5,37
884,2016-03-06,19077.0,2016,3,9,6,6,66
885,2016-04-06,29828.0,2016,4,14,6,2,97
886,2016-05-06,19198.0,2016,5,18,6,4,127
887,2016-06-06,52956.0,2016,6,23,6,0,158
888,2016-07-06,52250.0,2016,7,27,6,2,188
889,2016-08-06,45084.0,2016,8,31,6,5,219
890,2016-09-06,53667.0,2016,9,36,6,1,250
891,2016-10-06,68767.0,2016,10,40,6,3,280
892,2016-11-06,40129.0,2016,11,44,6,6,311
893,2016-12-06,33943.0,2016,12,49,6,1,341
894,2016-06-13,49897.0,2016,6,24,13,0,165
895,2016-06-14,55680.0,2016,6,24,14,1,166
896,2016-06-15,55934.0,2016,6,24,15,2,167
897,2016-06-16,46983.0,2016,6,24,16,3,168
898,2016-06-17,55148.0,2016,6,24,17,4,169
899,2016-06-18,49650.0,2016,6,24,18,5,170
900,2016-06-19,46104.0,2016,6,24,19,6,171
901,2016-06-20,53140.0,2016,6,25,20,0,172
902,2016-06-21,54439.0,2016,6,25,21,1,173
903,2016-06-22,56698.0,2016,6,25,22,2,174
904,2016-06-23,54127.0,2016,6,25,23,3,175
905,2016-06-24,55113.0,2016,6,25,24,4,176
906,2016-06-25,43751.0,2016,6,25,25,5,177
907,2016-06-26,43671.0,2016,6,25,26,6,178
908,2016-06-27,47854.0,2016,6,26,27,0,179
909,2016-06-28,50436.0,2016,6,26,28,1,180
910,2016-06-29,55805.0,2016,6,26,29,2,181
911,2016-06-30,55709.0,2016,6,26,30,3,182
912,2016-01-07,28215.0,2016,1,1,7,3,7
913,2016-02-07,17838.0,2016,2,5,7,6,38
914,2016-03-07,31934.0,2016,3,10,7,0,67
915,2016-04-07,30879.0,2016,4,14,7,3,98
916,2016-05-07,31528.0,2016,5,18,7,5,128
917,2016-06-07,52677.0,2016,6,23,7,1,159
918,2016-07-07,49617.0,2016,7,27,7,3,189
919,2016-08-07,44579.0,2016,8,31,7,6,220
920,2016-09-07,61801.0,2016,9,36,7,2,251
921,2016-10-07,67095.0,2016,10,40,7,4,281
922,2016-11-07,50788.0,2016,11,45,7,0,312
923,2016-12-07,38730.0,2016,12,49,7,2,342
924,2016-07-13,56420.0,2016,7,28,13,2,195
925,2016-07-14,51233.0,2016,7,28,14,3,196
926,2016-07-15,49417.0,2016,7,28,15,4,197
927,2016-07-16,38995.0,2016,7,28,16,5,198
928,2016-07-17,42053.0,2016,7,28,17,6,199
929,2016-07-18,44455.0,2016,7,29,18,0,200
930,2016-07-19,55457.0,2016,7,29,19,1,201
931,2016-07-20,58155.0,2016,7,29,20,2,202
932,2016-07-21,55802.0,2016,7,29,21,3,203
933,2016-07-22,50082.0,2016,7,29,22,4,204
934,2016-07-23,38201.0,2016,7,29,23,5,205
935,2016-07-24,40363.0,2016,7,29,24,6,206
936,2016-07-25,36056.0,2016,7,30,25,0,207
937,2016-07-26,53921.0,2016,7,30,26,1,208
938,2016-07-27,55142.0,2016,7,30,27,2,209
939,2016-07-28,51041.0,2016,7,30,28,3,210
940,2016-07-29,38472.0,2016,7,30,29,4,211
941,2016-07-30,28355.0,2016,7,30,30,5,212
942,2016-07-31,28294.0,2016,7,30,31,6,213
943,2016-01-08,29131.0,2016,1,1,8,4,8
944,2016-02-08,19329.0,2016,2,6,8,0,39
945,2016-03-08,37041.0,2016,3,10,8,1,68
946,2016-04-08,31273.0,2016,4,14,8,4,99
947,2016-05-08,31617.0,2016,5,18,8,6,129
948,2016-06-08,42943.0,2016,6,23,8,2,160
949,2016-07-08,45202.0,2016,7,27,8,4,190
950,2016-08-08,53414.0,2016,8,32,8,0,221
951,2016-09-08,62880.0,2016,9,36,8,3,252
952,2016-10-08,35256.0,2016,10,40,8,5,282
953,2016-11-08,57591.0,2016,11,45,8,1,313
954,2016-12-08,40320.0,2016,12,49,8,3,343
955,2016-08-13,39622.0,2016,8,32,13,5,226
956,2016-08-14,33716.0,2016,8,32,14,6,227
957,2016-08-15,50302.0,2016,8,33,15,0,228
958,2016-08-16,51494.0,2016,8,33,16,1,229
959,2016-08-17,55266.0,2016,8,33,17,2,230
960,2016-08-18,54446.0,2016,8,33,18,3,231
961,2016-08-19,52786.0,2016,8,33,19,4,232
962,2016-08-20,46704.0,2016,8,33,20,5,233
963,2016-08-21,35668.0,2016,8,33,21,6,234
964,2016-08-22,55575.0,2016,8,34,22,0,235
965,2016-08-23,59799.0,2016,8,34,23,1,236
966,2016-08-24,59380.0,2016,8,34,24,2,237
967,2016-08-25,54702.0,2016,8,34,25,3,238
968,2016-08-26,53321.0,2016,8,34,26,4,239
969,2016-08-27,46818.0,2016,8,34,27,5,240
970,2016-08-28,45847.0,2016,8,34,28,6,241
971,2016-08-29,54435.0,2016,8,35,29,0,242
972,2016-08-30,58672.0,2016,8,35,30,1,243
973,2016-08-31,58407.0,2016,8,35,31,2,244
974,2016-01-09,21140.0,2016,1,1,9,5,9
975,2016-02-09,23038.0,2016,2,6,9,1,40
976,2016-03-09,42108.0,2016,3,10,9,2,69
977,2016-04-09,12903.0,2016,4,14,9,5,100
978,2016-05-09,46501.0,2016,5,19,9,0,130
979,2016-06-09,53706.0,2016,6,23,9,3,161
980,2016-07-09,38749.0,2016,7,27,9,5,191
981,2016-08-09,57340.0,2016,8,32,9,1,222
982,2016-09-09,58059.0,2016,9,36,9,4,253
983,2016-10-09,22076.0,2016,10,40,9,6,283
984,2016-11-09,38789.0,2016,11,45,9,2,314
985,2016-12-09,34213.0,2016,12,49,9,4,344
986,2016-09-13,66210.0,2016,9,37,13,1,257
987,2016-09-14,60428.0,2016,9,37,14,2,258
988,2016-09-15,68658.0,2016,9,37,15,3,259
989,2016-09-16,66584.0,2016,9,37,16,4,260
990,2016-09-17,60177.0,2016,9,37,17,5,261
991,2016-09-18,52646.0,2016,9,37,18,6,262
992,2016-09-19,34919.0,2016,9,38,19,0,263
993,2016-09-20,66172.0,2016,9,38,20,1,264
994,2016-09-21,66708.0,2016,9,38,21,2,265
995,2016-09-22,69138.0,2016,9,38,22,3,266
996,2016-09-23,66838.0,2016,9,38,23,4,267
997,2016-09-24,54236.0,2016,9,38,24,5,268
998,2016-09-25,54617.0,2016,9,38,25,6,269
999,2016-09-26,62645.0,2016,9,39,26,0,270
1000,2016-09-27,62613.0,2016,9,39,27,1,271
1001,2016-09-28,60706.0,2016,9,39,28,2,272
1002,2016-09-29,56722.0,2016,9,39,29,3,273
1003,2016-09-30,21863.0,2016,9,39,30,4,274
1004,2016-01-10,14481.0,2016,1,1,10,6,10
1005,2016-02-10,22725.0,2016,2,6,10,2,41
1006,2016-03-10,42874.0,2016,3,10,10,3,70
1007,2016-04-10,23499.0,2016,4,14,10,6,101
1008,2016-05-10,45538.0,2016,5,19,10,1,131
1009,2016-06-10,54151.0,2016,6,23,10,4,162
1010,2016-07-10,42702.0,2016,7,27,10,6,192
1011,2016-08-10,51249.0,2016,8,32,10,2,223
1012,2016-09-10,49400.0,2016,9,36,10,5,254
1013,2016-10-10,53303.0,2016,10,41,10,0,284
1014,2016-11-10,51793.0,2016,11,45,10,3,315
1015,2016-12-10,22746.0,2016,12,49,10,5,345
1016,2016-10-13,62395.0,2016,10,41,13,3,287
1017,2016-10-14,61700.0,2016,10,41,14,4,288
1018,2016-10-15,52921.0,2016,10,41,15,5,289
1019,2016-10-16,49653.0,2016,10,41,16,6,290
1020,2016-10-17,63907.0,2016,10,42,17,0,291
1021,2016-10-18,69469.0,2016,10,42,18,1,292
1022,2016-10-19,70991.0,2016,10,42,19,2,293
1023,2016-10-20,64887.0,2016,10,42,20,3,294
1024,2016-10-21,41674.0,2016,10,42,21,4,295
1025,2016-10-22,25739.0,2016,10,42,22,5,296
1026,2016-10-23,42117.0,2016,10,42,23,6,297
1027,2016-10-24,56384.0,2016,10,43,24,0,298
1028,2016-10-25,53693.0,2016,10,43,25,1,299
1029,2016-10-26,53452.0,2016,10,43,26,2,300
1030,2016-10-27,21560.0,2016,10,43,27,3,301
1031,2016-10-28,47121.0,2016,10,43,28,4,302
1032,2016-10-29,43165.0,2016,10,43,29,5,303
1033,2016-10-30,38388.0,2016,10,43,30,6,304
1034,2016-10-31,51086.0,2016,10,44,31,0,305
1035,2016-01-11,23276.0,2016,1,2,11,0,11
1036,2016-02-11,19016.0,2016,2,6,11,3,42
1037,2016-03-11,38727.0,2016,3,10,11,4,71
1038,2016-04-11,32563.0,2016,4,15,11,0,102
1039,2016-05-11,51929.0,2016,5,19,11,2,132
1040,2016-06-11,41647.0,2016,6,23,11,5,163
1041,2016-07-11,53691.0,2016,7,28,11,0,193
1042,2016-08-11,48519.0,2016,8,32,11,3,224
1043,2016-09-11,53148.0,2016,9,36,11,6,255
1044,2016-10-11,59900.0,2016,10,41,11,1,285
1045,2016-11-11,46640.0,2016,11,45,11,4,316
1046,2016-12-11,18098.0,2016,12,49,11,6,346
1047,2016-11-13,37430.0,2016,11,45,13,6,318
1048,2016-11-14,49787.0,2016,11,46,14,0,319
1049,2016-11-15,23316.0,2016,11,46,15,1,320
1050,2016-11-16,54328.0,2016,11,46,16,2,321
1051,2016-11-17,54894.0,2016,11,46,17,3,322
1052,2016-11-18,54311.0,2016,11,46,18,4,323
1053,2016-11-19,41977.0,2016,11,46,19,5,324
1054,2016-11-20,20952.0,2016,11,46,20,6,325
1055,2016-11-21,33649.0,2016,11,47,21,0,326
1056,2016-11-22,37480.0,2016,11,47,22,1,327
1057,2016-11-23,35209.0,2016,11,47,23,2,328
1058,2016-11-24,12369.0,2016,11,47,24,3,329
1059,2016-11-25,21404.0,2016,11,47,25,4,330
1060,2016-11-26,24255.0,2016,11,47,26,5,331
1061,2016-11-27,24520.0,2016,11,47,27,6,332
1062,2016-11-28,42808.0,2016,11,48,28,0,333
1063,2016-11-29,14952.0,2016,11,48,29,1,334
1064,2016-11-30,24968.0,2016,11,48,30,2,335
1065,2016-01-12,25578.0,2016,1,2,12,1,12
1066,2016-02-12,16698.0,2016,2,6,12,4,43
1067,2016-03-12,33212.0,2016,3,10,12,5,72
1068,2016-04-12,24196.0,2016,4,15,12,1,103
1069,2016-05-12,53096.0,2016,5,19,12,3,133
1070,2016-06-12,41325.0,2016,6,23,12,6,164
1071,2016-07-12,57497.0,2016,7,28,12,1,194
1072,2016-08-12,45823.0,2016,8,32,12,4,225
1073,2016-09-12,62351.0,2016,9,37,12,0,256
1074,2016-10-12,58961.0,2016,10,41,12,2,286
1075,2016-11-12,35240.0,2016,11,45,12,5,317
1076,2016-12-12,29577.0,2016,12,50,12,0,347
1077,2016-12-13,39757.0,2016,12,50,13,1,348
1078,2016-12-14,38506.0,2016,12,50,14,2,349
1079,2016-12-15,25538.0,2016,12,50,15,3,350
1080,2016-12-16,25014.0,2016,12,50,16,4,351
1081,2016-12-17,7109.0,2016,12,50,17,5,352
1082,2016-12-18,16552.0,2016,12,50,18,6,353
1083,2016-12-19,26128.0,2016,12,51,19,0,354
1084,2016-12-20,28236.0,2016,12,51,20,1,355
1085,2016-12-21,31187.0,2016,12,51,21,2,356
1086,2016-12-22,31499.0,2016,12,51,22,3,357
1087,2016-12-23,26843.0,2016,12,51,23,4,358
1088,2016-12-24,8190.0,2016,12,51,24,5,359
1089,2016-12-25,10131.0,2016,12,51,25,6,360
1090,2016-12-26,10998.0,2016,12,52,26,0,361
1091,2016-12-27,26535.0,2016,12,52,27,1,362
1092,2016-12-28,24079.0,2016,12,52,28,2,363
1093,2016-12-29,13476.0,2016,12,52,29,3,364
1094,2016-12-30,21754.0,2016,12,52,30,4,365
1095,2016-12-31,16211.0,2016,12,52,31,5,366
1096,2017-01-01,16281.0,2017,1,52,1,6,1
1097,2017-02-01,35790.0,2017,2,5,1,2,32
1098,2017-03-01,41350.0,2017,3,9,1,2,60
1099,2017-04-01,24205.0,2017,4,13,1,5,91
1100,2017-05-01,57266.0,2017,5,18,1,0,121
1101,2017-06-01,68642.0,2017,6,22,1,3,152
1102,2017-07-01,37398.0,2017,7,26,1,5,182
1103,2017-08-01,67997.0,2017,8,31,1,1,213
1104,2017-09-01,55991.0,2017,9,35,1,4,244
1105,2017-10-01,56411.0,2017,10,39,1,6,274
1106,2017-11-01,61898.0,2017,11,44,1,2,305
1107,2017-12-01,51706.0,2017,12,48,1,4,335
1108,2017-01-13,34212.0,2017,1,2,13,4,13
1109,2017-01-14,14054.0,2017,1,2,14,5,14
1110,2017-01-15,17668.0,2017,1,2,15,6,15
1111,2017-01-16,24545.0,2017,1,3,16,0,16
1112,2017-01-17,19039.0,2017,1,3,17,1,17
1113,2017-01-18,31411.0,2017,1,3,18,2,18
1114,2017-01-19,37163.0,2017,1,3,19,3,19
1115,2017-01-20,27275.0,2017,1,3,20,4,20
1116,2017-01-21,27016.0,2017,1,3,21,5,21
1117,2017-01-22,20879.0,2017,1,3,22,6,22
1118,2017-01-23,16092.0,2017,1,4,23,0,23
1119,2017-01-24,13431.0,2017,1,4,24,1,24
1120,2017-01-25,37571.0,2017,1,4,25,2,25
1121,2017-01-26,33578.0,2017,1,4,26,3,26
1122,2017-01-27,32971.0,2017,1,4,27,4,27
1123,2017-01-28,21627.0,2017,1,4,28,5,28
1124,2017-01-29,22870.0,2017,1,4,29,6,29
1125,2017-01-30,30169.0,2017,1,5,30,0,30
1126,2017-01-31,25653.0,2017,1,5,31,1,31
1127,2017-01-02,9065.0,2017,1,1,2,0,2
1128,2017-02-02,35097.0,2017,2,5,2,3,33
1129,2017-03-02,36393.0,2017,3,9,2,3,61
1130,2017-04-02,40397.0,2017,4,13,2,6,92
1131,2017-05-02,62141.0,2017,5,18,2,1,122
1132,2017-06-02,68089.0,2017,6,22,2,4,153
1133,2017-07-02,43800.0,2017,7,26,2,6,183
1134,2017-08-02,57363.0,2017,8,31,2,2,214
1135,2017-09-02,38457.0,2017,9,35,2,5,245
1136,2017-10-02,66846.0,2017,10,40,2,0,275
1137,2017-11-02,72093.0,2017,11,44,2,3,306
1138,2017-12-02,39538.0,2017,12,48,2,5,336
1139,2017-02-13,24181.0,2017,2,7,13,0,44
1140,2017-02-14,30222.0,2017,2,7,14,1,45
1141,2017-02-15,32572.0,2017,2,7,15,2,46
1142,2017-02-16,29670.0,2017,2,7,16,3,47
1143,2017-02-17,29233.0,2017,2,7,17,4,48
1144,2017-02-18,31072.0,2017,2,7,18,5,49
1145,2017-02-19,37616.0,2017,2,7,19,6,50
1146,2017-02-20,32863.0,2017,2,8,20,0,51
1147,2017-02-21,33271.0,2017,2,8,21,1,52
1148,2017-02-22,38803.0,2017,2,8,22,2,53
1149,2017-02-23,43153.0,2017,2,8,23,3,54
1150,2017-02-24,47791.0,2017,2,8,24,4,55
1151,2017-02-25,33997.0,2017,2,8,25,5,56
1152,2017-02-26,25130.0,2017,2,8,26,6,57
1153,2017-02-27,36673.0,2017,2,9,27,0,58
1154,2017-02-28,42595.0,2017,2,9,28,1,59
1155,2017-01-03,14546.0,2017,1,1,3,1,3
1156,2017-02-03,30196.0,2017,2,5,3,4,34
1157,2017-03-03,31709.0,2017,3,9,3,4,62
1158,2017-04-03,44111.0,2017,4,14,3,0,93
1159,2017-05-03,60241.0,2017,5,18,3,2,123
1160,2017-06-03,57161.0,2017,6,22,3,5,154
1161,2017-07-03,49118.0,2017,7,27,3,0,184
1162,2017-08-03,67453.0,2017,8,31,3,3,215
1163,2017-09-03,31518.0,2017,9,35,3,6,246
1164,2017-10-03,70550.0,2017,10,40,3,1,276
1165,2017-11-03,72972.0,2017,11,44,3,4,307
1166,2017-12-03,34264.0,2017,12,48,3,6,337
1167,2017-03-13,27887.0,2017,3,11,13,0,72
1168,2017-03-13,27887.0,2017,3,11,13,0,72
1169,2017-03-13,27887.0,2017,3,11,13,0,72
1170,2017-03-13,27887.0,2017,3,11,13,0,72
1171,2017-03-17,7099.0,2017,3,11,17,4,76
1172,2017-03-18,4137.0,2017,3,11,18,5,77
1173,2017-03-19,10653.0,2017,3,11,19,6,78
1174,2017-03-20,27722.0,2017,3,12,20,0,79
1175,2017-03-21,37452.0,2017,3,12,21,1,80
1176,2017-03-22,27396.0,2017,3,12,22,2,81
1177,2017-03-23,30428.0,2017,3,12,23,3,82
1178,2017-03-24,34602.0,2017,3,12,24,4,83
1179,2017-03-25,30129.0,2017,3,12,25,5,84
1180,2017-03-26,20201.0,2017,3,12,26,6,85
1181,2017-03-27,26727.0,2017,3,13,27,0,86
1182,2017-03-28,21960.0,2017,3,13,28,1,87
1183,2017-03-29,43057.0,2017,3,13,29,2,88
1184,2017-03-30,40368.0,2017,3,13,30,3,89
1185,2017-03-31,7108.0,2017,3,13,31,4,90
1186,2017-01-04,34673.0,2017,1,1,4,2,4
1187,2017-02-04,19582.0,2017,2,5,4,5,35
1188,2017-03-04,15908.0,2017,3,9,4,5,63
1189,2017-04-04,30505.0,2017,4,14,4,1,94
1190,2017-05-04,58395.0,2017,5,18,4,3,124
1191,2017-06-04,40868.0,2017,6,22,4,6,155
1192,2017-07-04,50919.0,2017,7,27,4,1,185
1193,2017-08-04,57587.0,2017,8,31,4,4,216
1194,2017-09-04,56187.0,2017,9,36,4,0,247
1195,2017-10-04,72898.0,2017,10,40,4,2,277
1196,2017-11-04,54243.0,2017,11,44,4,5,308
1197,2017-12-04,50532.0,2017,12,49,4,0,338
1198,2017-04-13,53692.0,2017,4,15,13,3,103
1199,2017-04-14,53025.0,2017,4,15,14,4,104
1200,2017-04-15,43149.0,2017,4,15,15,5,105
1201,2017-04-16,49080.0,2017,4,15,16,6,106
1202,2017-04-17,54128.0,2017,4,16,17,0,107
1203,2017-04-18,54631.0,2017,4,16,18,1,108
1204,2017-04-19,46567.0,2017,4,16,19,2,109
1205,2017-04-20,44958.0,2017,4,16,20,3,110
1206,2017-04-21,40514.0,2017,4,16,21,4,111
1207,2017-04-22,35214.0,2017,4,16,22,5,112
1208,2017-04-23,49769.0,2017,4,16,23,6,113
1209,2017-04-24,49490.0,2017,4,17,24,0,114
1210,2017-04-25,20722.0,2017,4,17,25,1,115
1211,2017-04-26,38393.0,2017,4,17,26,2,116
1212,2017-04-27,52857.0,2017,4,17,27,3,117
1213,2017-04-28,63203.0,2017,4,17,28,4,118
1214,2017-04-29,58669.0,2017,4,17,29,5,119
1215,2017-04-30,43625.0,2017,4,17,30,6,120
1216,2017-01-05,28945.0,2017,1,1,5,3,5
1217,2017-02-05,20384.0,2017,2,5,5,6,36
1218,2017-03-05,16214.0,2017,3,9,5,6,64
1219,2017-04-05,48355.0,2017,4,14,5,2,95
1220,2017-05-05,24511.0,2017,5,18,5,4,125
1221,2017-06-05,56884.0,2017,6,23,5,0,156
1222,2017-07-05,61501.0,2017,7,27,5,2,186
1223,2017-08-05,59884.0,2017,8,31,5,5,217
1224,2017-09-05,66625.0,2017,9,36,5,1,248
1225,2017-10-05,71560.0,2017,10,40,5,3,278
1226,2017-11-05,35515.0,2017,11,44,5,6,309
1227,2017-12-05,42494.0,2017,12,49,5,1,339
1228,2017-05-13,5799.0,2017,5,19,13,5,133
1229,2017-05-14,39376.0,2017,5,19,14,6,134
1230,2017-05-15,55705.0,2017,5,20,15,0,135
1231,2017-05-16,65670.0,2017,5,20,16,1,136
1232,2017-05-17,66848.0,2017,5,20,17,2,137
1233,2017-05-18,64730.0,2017,5,20,18,3,138
1234,2017-05-19,63145.0,2017,5,20,19,4,139
1235,2017-05-20,48653.0,2017,5,20,20,5,140
1236,2017-05-21,55747.0,2017,5,20,21,6,141
1237,2017-05-22,25097.0,2017,5,21,22,0,142
1238,2017-05-23,61145.0,2017,5,21,23,1,143
1239,2017-05-24,61646.0,2017,5,21,24,2,144
1240,2017-05-25,17907.0,2017,5,21,25,3,145
1241,2017-05-26,54726.0,2017,5,21,26,4,146
1242,2017-05-27,47251.0,2017,5,21,27,5,147
1243,2017-05-28,47447.0,2017,5,21,28,6,148
1244,2017-05-29,26773.0,2017,5,22,29,0,149
1245,2017-05-30,51117.0,2017,5,22,30,1,150
1246,2017-05-31,60512.0,2017,5,22,31,2,151
1247,2017-01-06,24612.0,2017,1,1,6,4,6
1248,2017-02-06,34030.0,2017,2,6,6,0,37
1249,2017-03-06,33088.0,2017,3,10,6,0,65
1250,2017-04-06,18355.0,2017,4,14,6,3,96
1251,2017-05-06,47382.0,2017,5,18,6,5,126
1252,2017-06-06,42116.0,2017,6,23,6,1,157
1253,2017-07-06,63408.0,2017,7,27,6,3,187
1254,2017-08-06,57510.0,2017,8,31,6,6,218
1255,2017-09-06,43177.0,2017,9,36,6,2,249
1256,2017-10-06,71567.0,2017,10,40,6,4,279
